Date,Equity,DrawdownPct,DrawdownDuration
2016-01-04 00:00:00+00:00,10000000.0,0.0,
2016-01-05 00:00:00+00:00,10000000.0,0.0,
2016-01-06 00:00:00+00:00,9977867.217193604,0.0022132782806396634,
2016-01-07 00:00:00+00:00,9881288.4292984,0.011871157070159954,
2016-01-08 00:00:00+00:00,9913481.358596802,0.00865186414031982,
2016-01-11 00:00:00+00:00,9932596.174209595,0.006740382579040527,
2016-01-12 00:00:00+00:00,9956740.6792984,0.004325932070159966,
2016-01-13 00:00:00+00:00,9952716.467193604,0.004728353280639697,
2016-01-14 00:00:00+00:00,9968812.548072815,0.003118745192718486,
2016-01-15 00:00:00+00:00,9955734.434387207,0.004426556561279327,
2016-01-18 00:00:00+00:00,9971831.282806398,0.002816871719360181,
2016-01-19 00:00:00+00:00,9958752.401580809,0.004124759841919179,
2016-01-20 00:00:00+00:00,9968812.548072815,0.003118745192718486,
2016-01-21 00:00:00+00:00,9965794.580879213,0.003420541912078634,
2016-01-22 00:00:00+00:00,10017102.325790405,0.0,17 days
2016-01-25 00:00:00+00:00,9995975.787895203,0.002109046828922767,
2016-01-26 00:00:00+00:00,9995975.787895203,0.002109046828922767,
2016-01-27 00:00:00+00:00,9949698.5,0.006728874638413651,
2016-01-28 00:00:00+00:00,9910463.3914032,0.010645686838263502,
2016-01-29 00:00:00+00:00,10021126.537895203,0.0,7 days
2016-02-01 00:00:00+00:00,9959758.646492004,0.006123851562110705,
2016-02-02 00:00:00+00:00,9946680.532806398,0.007428905802884023,
2016-02-03 00:00:00+00:00,9787727.608596802,0.023290687770062157,
2016-02-04 00:00:00+00:00,9705233.1792984,0.03152273922519999,
2016-02-05 00:00:00+00:00,9761570.613685608,0.025900872843794165,
2016-02-08 00:00:00+00:00,9715293.325790405,0.030518845455975385,
2016-02-09 00:00:00+00:00,9664991.825790405,0.035538390894283456,
2016-02-10 00:00:00+00:00,9646883.255088806,0.03734543031576176,
2016-02-11 00:00:00+00:00,9613684.080879213,0.04065834868716933,
2016-02-12 00:00:00+00:00,9655937.924209595,0.036441872308930146,
2016-02-16 00:00:00+00:00,9745474.532806398,0.027507087556116305,
2016-02-17 00:00:00+00:00,9737426.108596802,0.028310233208370228,
2016-02-18 00:00:00+00:00,9753522.189476015,0.026704018496047643,
2016-02-19 00:00:00+00:00,9718311.292984009,0.03021768498442645,
2016-02-22 00:00:00+00:00,9796781.51017761,0.02238720635541569,
2016-02-23 00:00:00+00:00,9806842.424209595,0.021383235994005823,
2016-02-24 00:00:00+00:00,9804829.934387207,0.021584060703161767,
2016-02-25 00:00:00+00:00,9787727.608596802,0.023290687770062157,
2016-02-26 00:00:00+00:00,9874246.25,0.014657063488797362,
2016-02-29 00:00:00+00:00,9880282.184387207,0.014054742545699606,
2016-03-01 00:00:00+00:00,9894366.542984009,0.012649275950348149,
2016-03-02 00:00:00+00:00,9880282.184387207,0.014054742545699606,
2016-03-03 00:00:00+00:00,9815896.325790405,0.020479754579359244,
2016-03-04 00:00:00+00:00,9792757.298072815,0.022788779181542318,
2016-03-07 00:00:00+00:00,9765594.825790405,0.025499300017667315,
2016-03-08 00:00:00+00:00,9779679.184387207,0.024093833422315858,
2016-03-09 00:00:00+00:00,9775654.972282412,0.024495406248442486,
2016-03-10 00:00:00+00:00,9664991.825790405,0.035538390894283456,
2016-03-11 00:00:00+00:00,9675051.972282412,0.03453449712505863,
