Date,Equity,DrawdownPct,DrawdownDuration
2016-01-04 00:00:00+00:00,10000000.0,0.0,
2016-01-05 00:00:00+00:00,10000000.0,0.0,
2016-01-06 00:00:00+00:00,9808795.285045624,0.019120471495437608,
2016-01-07 00:00:00+00:00,9506055.359100342,0.04939446408996584,
2016-01-08 00:00:00+00:00,9404078.81293869,0.059592118706131014,
2016-01-11 00:00:00+00:00,9400892.092624666,0.05991079073753336,
2016-01-12 00:00:00+00:00,9420013.162565233,0.05799868374347672,
2016-01-13 00:00:00+00:00,9321225.58088684,0.06787744191131595,
2016-01-14 00:00:00+00:00,9442319.456706999,0.0557680543293001,
2016-01-15 00:00:00+00:00,9069471.683853148,0.09305283161468525,
2016-01-19 00:00:00+00:00,9203314.685098648,0.0796685314901352,
2016-01-20 00:00:00+00:00,9002549.809202194,0.09974501907978062,
2016-01-21 00:00:00+00:00,9037605.228769302,0.0962394771230698,
2016-01-22 00:00:00+00:00,9346719.34339905,0.06532806566009508,
2016-01-25 00:00:00+00:00,9187380.335472107,0.08126196645278927,
2016-01-26 00:00:00+00:00,9321225.58088684,0.06787744191131595,
2016-01-27 00:00:00+00:00,9289356.133577347,0.07106438664226533,
2016-01-28 00:00:00+00:00,9435947.512191772,0.05640524878082276,
2016-01-29 00:00:00+00:00,9741874.15845108,0.02581258415489196,
2016-02-01 00:00:00+00:00,9649457.773231506,0.03505422267684932,
2016-02-02 00:00:00+00:00,9337156.938287735,0.06628430617122649,
2016-02-03 00:00:00+00:00,9601655.472408295,0.039834452759170524,
2016-02-04 00:00:00+00:00,9674951.535743713,0.032504846425628675,
2016-02-05 00:00:00+00:00,9563415.576696394,0.04365844233036065,
2016-02-08 00:00:00+00:00,9432760.791877747,0.056723920812225326,
2016-02-09 00:00:00+00:00,9302104.510946274,0.06978954890537259,
2016-02-10 00:00:00+00:00,9340344.40665817,0.06596555933418291,
2016-02-11 00:00:00+00:00,9184193.615158081,0.08158063848419195,
2016-02-12 00:00:00+00:00,9343532.623085022,0.06564673769149776,
2016-02-16 00:00:00+00:00,9550668.695440292,0.044933130455970804,
2016-02-17 00:00:00+00:00,9738686.690080643,0.026131330991935764,
2016-02-18 00:00:00+00:00,9681323.480258942,0.03186765197410579,
2016-02-19 00:00:00+00:00,9636710.143918991,0.03632898560810094,
2016-02-22 00:00:00+00:00,9875717.159696579,0.01242828403034213,
2016-02-23 00:00:00+00:00,9665392.122858047,0.03346078771419525,
2016-02-24 00:00:00+00:00,9643085.828716278,0.035691417128372205,
2016-02-25 00:00:00+00:00,9674951.535743713,0.032504846425628675,
2016-02-26 00:00:00+00:00,9579349.926322937,0.04206500736770635,
2016-02-29 00:00:00+00:00,9662205.402544022,0.03377945974559782,
2016-03-01 00:00:00+00:00,10006372.69257164,0.0,56 days
2016-03-02 00:00:00+00:00,10140216.441873552,0.0,
2016-03-03 00:00:00+00:00,10254937.62512207,0.0,
2016-03-04 00:00:00+00:00,10458886.977163315,0.0,
2016-03-07 00:00:00+00:00,10442956.36781883,0.0015231648816235177,
2016-03-08 00:00:00+00:00,10264497.786064148,0.01858603038005957,
2016-03-09 00:00:00+00:00,10328231.444288254,0.012492298000766566,
2016-03-10 00:00:00+00:00,10344165.793914795,0.010968775501543404,
2016-03-11 00:00:00+00:00,10560863.523324965,0.0,7 days
2016-03-14 00:00:00+00:00,10497129.86510086,0.006034890810144522,
