Date,Open,High,Low,Close,Volume
2016-01-04 00:00:00+00:00,48.09562444089657,48.18579338054926,47.891241205271626,48.14972305297851,14787700.0
2016-01-05 00:00:00+00:00,48.29397056839717,48.40818481698395,48.1316702133041,48.239871978759766,11491300.0
2016-01-06 00:00:00+00:00,48.04751379419201,48.28796267144693,48.04751379419201,48.239871978759766,11320100.0
2016-01-07 00:00:00+00:00,47.89121393369209,48.0895845707296,47.86116069504349,47.927284240722656,11004700.0
2016-01-08 00:00:00+00:00,48.11366004542224,48.22186186191698,47.78905459593806,47.80107498168945,17902100.0
2016-01-11 00:00:00+00:00,48.00543841760537,48.059537010435314,47.674820618596335,47.72892379760742,16917700.0
2016-01-12 00:00:00+00:00,48.02346864656285,48.05953437313701,47.668810105434495,47.77701187133789,15217700.0
2016-01-13 00:00:00+00:00,47.81309361080562,47.86118431979765,47.18191566728705,47.24803924560547,20352700.0
2016-01-14 00:00:00+00:00,47.28412184844654,47.51254589619859,47.05569321451086,47.45844268798828,18572700.0
2016-01-15 00:00:00+00:00,46.6889874860718,47.29611994662366,46.53870749190818,46.83325958251953,27309900.0
2016-01-19 00:00:00+00:00,46.85731287707115,46.96551468525326,46.52068706769689,46.67096710205078,15975700.0
2016-01-20 00:00:00+00:00,46.30426474459694,46.53870113658305,45.5769102225143,46.358367919921875,25973500.0
2016-01-21 00:00:00+00:00,46.358386648515065,46.86332536257646,46.16602838798939,46.67096710205078,20065800.0
2016-01-22 00:00:00+00:00,47.12784006718904,47.44042065587461,47.03165860224907,47.386322021484375,17653100.0
2016-01-25 00:00:00+00:00,47.24201252663859,47.33218143228555,46.905386837483064,46.91741180419922,16448400.0
2016-01-26 00:00:00+00:00,47.103740409444576,47.362222065815395,46.99553867919215,47.33817672729492,12010900.0
2016-01-27 00:00:00+00:00,47.32016305564001,47.53656660388444,47.11577988843972,47.26605987548828,14563000.0
2016-01-28 00:00:00+00:00,47.55460238772355,47.662804168487824,47.33218634221322,47.50651168823242,14622600.0
2016-01-29 00:00:00+00:00,47.60869284628387,47.758972816867065,47.56661463796781,47.66279602050781,14218700.0
2016-02-01 00:00:00+00:00,47.57883220422127,47.59695443438613,47.30698492502142,47.37947845458984,8865500.0
2016-02-02 00:00:00+00:00,47.14994822372712,47.25264398990902,47.017045651533365,47.04121017456055,15442100.0
2016-02-03 00:00:00+00:00,47.186167028911875,47.36135626885149,46.89619751927516,47.2707405090332,15465200.0
2016-02-04 00:00:00+00:00,47.25260384477979,47.35529952371293,47.07741465835454,47.11970138549805,8989700.0
2016-02-05 00:00:00+00:00,47.113679378739235,47.113679378739235,46.684769644910624,46.75726318359375,14632300.0
2016-02-08 00:00:00+00:00,46.376674329573625,46.39480116954408,46.08066713478526,46.21356964111328,15649900.0
2016-02-09 00:00:00+00:00,45.96589756324606,46.249824873079326,45.83299963488034,46.03839111328125,18685000.0
2016-02-10 00:00:00+00:00,46.15921293585732,46.35252445718794,45.88132330309123,45.97193908691406,13086000.0
