Date,Open,High,Low,Close,Volume
2016-01-04 00:00:00+00:00,17257.888,17270.525,16954.654,17145.086,9.1101
2016-01-05 00:00:00+00:00,17203.073,17213.417,17037.76,17156.624,11.609
2016-01-06 00:00:00+00:00,17038.836,17072.541,16813.592,16909.931,11.7972
2016-01-07 00:00:00+00:00,16690.21,16805.816,16460.476,16512.911,23.9596
2016-01-08 00:00:00+00:00,16669.702,16757.996,16314.79,16339.859,27.6039
2016-01-11 00:00:00+00:00,16249.801,16462.836,16229.92,16391.993,27.614
2016-01-12 00:00:00+00:00,16293.273,16592.818,16268.911,16507.841,25.9152
2016-01-13 00:00:00+00:00,16557.974,16626.226,16116.808,16149.886,16.418
2016-01-14 00:00:00+00:00,16249.996,16482.986,16074.427,16368.873,34.6313
2016-01-15 00:00:00+00:00,16225.568,16267.759,15836.927,15980.942,15.9428
2016-01-18 00:00:00+00:00,16056.985,16137.094,15957.917,15989.808,7.2183
2016-01-19 00:00:00+00:00,16165.956,16276.87,15898.864,16016.877,14.1609
2016-01-20 00:00:00+00:00,15725.61,15897.0,15448.83,15771.866,18.063
2016-01-21 00:00:00+00:00,15722.809,16040.995,15646.837,15874.837,44.1129
2016-01-22 00:00:00+00:00,16008.846,16136.889,15974.855,16095.985,34.356
2016-01-25 00:00:00+00:00,16094.989,16095.994,15880.665,15894.0,40.7191
2016-01-26 00:00:00+00:00,15809.945,16185.997,15724.78,16167.875,42.2801
2016-01-27 00:00:00+00:00,16115.841,16234.999,15874.813,15941.829,31.1824
2016-01-28 00:00:00+00:00,15949.92,16139.079,15858.935,16066.94,29.5562
2016-01-29 00:00:00+00:00,16206.717,16453.949,16135.802,16445.868,22.8251
2016-02-01 00:00:00+00:00,16433.911,16509.989,16293.811,16444.843,15.626
2016-02-02 00:00:00+00:00,16376.849,16385.407,16104.978,16159.955,15.756
2016-02-03 00:00:00+00:00,16135.826,16384.339,15957.441,16337.857,42.318
2016-02-04 00:00:00+00:00,16440.727,16485.361,16205.986,16421.426,24.0644
2016-02-05 00:00:00+00:00,16384.025,16461.201,16126.492,16197.886,23.1797
2016-02-08 00:00:00+00:00,16257.894,16267.068,15798.32,16026.468,24.0285
2016-02-09 00:00:00+00:00,15929.842,16135.461,15839.486,16019.894,52.4678
2016-02-10 00:00:00+00:00,15955.979,16201.986,15897.302,15916.372,22.1964
2016-02-11 00:00:00+00:00,15833.994,15857.975,15501.904,15649.908,49.6842
2016-02-12 00:00:00+00:00,15659.991,15971.479,15641.494,15967.971,43.4497
